siteID,period,nplots
BART,1,6
BART,2,6
BART,3,6
BLAN,1,2
BLAN,2,3
BLAN,3,2
DELA,1,1
DELA,2,1
DELA,3,1
DSNY,1,1
GRSM,1,6
GRSM,2,7
HARV,1,4
HARV,2,3
HARV,3,3
HARV,4,2
HARV,5,3
HARV,6,3
HARV,7,5
HARV,8,5
HARV,9,4
JERC,1,4
KONA,1,3
KONA,2,5
KONA,3,6
KONZ,1,3
KONZ,2,3
KONZ,3,3
KONZ,4,5
KONZ,5,6
KONZ,6,5
KONZ,7,3
MLBS,1,3
MLBS,2,6
MLBS,3,5
NOGP,1,1
NOGP,2,3
NOGP,3,4
NOGP,4,3
OAES,1,4
OAES,2,2
ORNL,1,6
ORNL,2,3
ORNL,3,6
ORNL,4,3
ORNL,5,4
OSBS,1,3
OSBS,2,5
OSBS,3,3
OSBS,4,5
OSBS,5,5
SCBI,1,6
SCBI,2,5
SCBI,3,5
SCBI,4,3
SCBI,5,2
SCBI,6,4
SCBI,7,4
SCBI,8,3
SERC,1,5
SERC,2,5
SERC,3,5
SERC,4,4
STEI,1,3
STEI,2,5
STEI,3,5
STEI,4,3
TALL,1,4
TALL,2,8
TALL,3,6
TALL,4,6
TREE,1,3
TREE,2,3
TREE,3,4
TREE,4,3
TREE,5,5
TREE,6,5
TREE,7,5
UKFS,1,5
UKFS,2,5
UKFS,3,4
UNDE,1,5
UNDE,2,6
UNDE,3,5
WOOD,1,2
WOOD,2,1
WOOD,3,4
WOOD,4,6
WOOD,5,1
